北京,北京,移动,13800100500
天津,天津,移动,13800220500
河北,石家庄,移动,13800311500
河北,保定,移动,13800312500
河北,衡水,移动,13800318500
河北,邢台,移动,13800319500
河北,邯郸,移动,13800310500
河北,张家口,移动,13800313500
河北,承德,移动,13800314500
河北,唐山,移动,13800315500
河北,廊坊,移动,13800316500
河北,沧州,移动,13800317500
河北,秦皇岛,移动,13800335500
山西,太原,移动,13800351500
山西,大同,移动,13800352500
山西,阳泉,移动,13800353500
山西,朔州,移动,13800349500
山西,吕梁,移动,13800358500
山西,忻州,移动,13800350500
山西,榆次,移动,13800354500
山西,长治,移动,13800355500
山西,晋城,移动,13800356500
山西,临汾,移动,13800357500
山西,运城,移动,13800359500
内蒙古,呼和浩特,移动,13800471500
内蒙古,包头,移动,13800472500
内蒙古,集宁,移动,13800474500
内蒙古,东胜,移动,13800477500
内蒙古,临河,移动,13800478500
内蒙古,锡林浩特,移动,13800479500
内蒙古,海拉尔,移动,13800470500
内蒙古,赤峰,移动,13800476500
内蒙古,乌海,移动,13800473500
内蒙古,阿拉善左旗,移动,13800483500
内蒙古,通辽,移动,13800475500
内蒙古,乌兰浩特,移动,13800482500
辽宁,沈阳,移动,13800240500
辽宁,大连,移动,13800411500
辽宁,鞍山,移动,13800412500
辽宁,抚顺,移动,13800413500
辽宁,本溪,移动,13800414500
辽宁,丹东,移动,13800415500
辽宁,锦州,移动,13800416500
辽宁,营口,移动,13800417500
辽宁,阜新,移动,13800418500
辽宁,辽阳,移动,13800419500
辽宁,铁岭,移动,13800410500
辽宁,朝阳,移动,13800421500
辽宁,盘锦,移动,13800427500
辽宁,葫芦岛,移动,13800429500
吉林,长春,移动,13800431500
吉林,吉林,移动,13800432500
吉林,延吉,移动,13800433500
吉林,四平,移动,13800434500
吉林,通化,移动,13800435500
吉林,白城,移动,13800436500
吉林,辽源,移动,13800437500
吉林,松源,移动,13800438500
吉林,白山,移动,13800439500
黑龙江,哈尔滨,移动,13800451500
黑龙江,齐齐哈尔,移动,13800452500
黑龙江,牡丹江,移动,13800453500
黑龙江,佳木斯,移动,13800454500
黑龙江,大庆,移动,13800459500
上海,上海,移动,13800210500
江苏,苏州,移动,13800512500
江苏,镇江,移动,13800511500
江苏,南通,移动,13800513500
江苏,常州,移动,13800519500
江苏,无锡,移动,13800510500
江苏,南京,移动,13800250500
江苏,扬州,移动,13800514500
江苏,盐城,移动,13800515500
江苏,徐州,移动,13800516500
江苏,淮阴,移动,13800517500
